mID,mName,mDescription,mGenre,mRating,mYear,mRuntime,mLanguage,mCountry,mDirector,mWriter,mActors,mPrice,mPoster
467,A Woman Called Sada Abe,A true-life tale of a broken woman whose hedonistic tryst with a high-class restaurateur resulted in a horrific crime of passion that littered Tokyo headlines in 1936.,"Biography,Drama",NULL,1975,85,Japanese,Japan,Noboru Tanaka,Akio Ido,"Junko Miyashita,Eimei Esumi,GenshÃ» Hanayagi,Yoshie Kitsuda",6.20,https://m.media-amazon.com/images/M/MV5BMTQyYzM4ZTktNTExOS00ZmJkLTk3YTMtYWY3YmM2NzFmMjE5XkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_SX300.jpg
468,Stormheart,"The father of a Finnish family brings home a cute puppy, Stormheart. No one in the family knows anything about the dog. Little by little, the mystery of Stormheart unravels and the dog's ...","Drama,Family",NULL,2008,95,Finnish,Finland,Kaisa Rastimo,"Kaisa Rastimo,Marko ÃijÃ¶,Marko ÃijÃ¶ t","Ronja Arvilommi,Laura Malmivaara,Janne Virtanen,Sara Tammela",4.90,https://m.media-amazon.com/images/M/MV5BZjNmNjIzODktNjdjYS00MmI2LTg1OTEtZmQ2N2JkOTEwODhjXkEyXkFqcGdeQXVyNjA3MzA0MzA@._V1_SX300.jpg
469,East Lake Meadows: A Public Housing Story,"The history of the East Lake Meadows public housing project in Atlanta and the people who lived there from 1970 to its demolition in 2000, with special emphasis on the activism of Eva Davis asserting the rights of the tenants.",Documentary,Not Rated,2020,104,English,USA,"Sarah Burns,David McMahon","Sarah Burns,David McMahon","Henry Cisneros,Bill Clinton,Jelani Cobb,Eva Davis",6.80,https://m.media-amazon.com/images/M/MV5BODM5NjExNTMtOTQ3Ny00ZTkzLWFiMWYtYjQwNTYxNjEyM2VlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
470,Patsy the Snowman,"Humans and animals alike take advantage of poor Patsy the Snowman, until he decides to do something about it.","Animation,Comedy",NULL,2015,3,English,USA,B.E.F. Oakes,NULL,NULL,4.40,NULL
471,Tomcats,"At the wedding of a friend, the remaining bachelors bet on staying single. 7 years later, one of the 2 remaining loses $51000 in Vegas. He must get the other guy married to cash in and pay his debt or die. A cute woman helps him.",Comedy,R,2001,95,English,USA,Gregory Poirier,Gregory Poirier,"Jerry O'Connell,Shannon Elizabeth,Jake Busey,Horatio Sanz",5.40,https://m.media-amazon.com/images/M/MV5BMTQ0NzQyMjgwMF5BMl5BanBnXkFtZTYwMTEyMTk2._V1_SX300.jpg
472,Big Easy to Big Empty: The Untold Story of the Drowning of New Orleans,"Thousands of New Orleans residents were forced to evacuate when Hurricane Katrina struck in August 2005; filmed a year later, this compelling documentary shows how some of the city's ...","Documentary,Short",Not Rated,2007,28,English,USA,Greg Palast,Greg Palast,Greg Palast,6.70,https://m.media-amazon.com/images/M/MV5BMTQzMDU0Nzc2OV5BMl5BanBnXkFtZTgwNjE2MjA2MDE@._V1_SX300.jpg
473,Dante 01,A prisoner is brought to psychiatric detention space station orbiting a prison planet. He was exposed to aliens and gained healing power. A new doctor wants to experiment on the 7 prisoners/patients.,"Adventure,Sci-Fi,Thriller",R,2008,82,French,France,Marc Caro,Marc Caro t,"Lambert Wilson,Linh Dan Pham,Simona Maicanescu,Dominique Pinon",4.90,https://m.media-amazon.com/images/M/MV5BMjE1OTg1MDc2MV5BMl5BanBnXkFtZTcwOTY5ODU4MQ@@._V1_SX300.jpg
474,Event Horizon,A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.,"Horror,Sci-Fi,Thriller",R,1997,96,"English, Latin","UK, USA",Paul W.S. Anderson,Philip Eisner,"Laurence Fishburne,Sam Neill,Kathleen Quinlan,Joely Richardson",6.70,https://m.media-amazon.com/images/M/MV5BZGI0NDMwNjAtNGEzNC00MzA1LTlkMjQtYjBkYTZlZjAyZWEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
475,Escape from New York: Big Challenges in Little Manhattan - The Visual Effects of Escape from New York,NULL,Short,NULL,2015,15,English,USA,NULL,NULL,"Dennis Skotak,Robert Skotak",7.00,NULL
476,Closed Curtain,"In a secluded house by the sea with the curtains shut, a screenwriter hides from the world with only his dog as company. The tranquility is abruptly broken one night by the arrival of a ...",Drama,Not Rated,2013,106,Persian,Iran,"Jafar Panahi,Kambuzia Partovi",Jafar Panahi t,"Kambuzia Partovi,Maryam Moghadam,Jafar Panahi,Hadi Saeedi",6.50,https://m.media-amazon.com/images/M/MV5BMTQ5NjQ2NjQ3NF5BMl5BanBnXkFtZTgwNjU4MDMxMjE@._V1_SX300.jpg
477,"As Above, So Below","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.","Horror,Mystery,Thriller",R,2014,93,"English, French, Latin",USA,John Erick Dowdle,John Erick Dowdle t,"Perdita Weeks,Ben Feldman,Edwin Hodge,FranÃ§ois Civil",6.20,https://m.media-amazon.com/images/M/MV5BMTQzNzg0NDI2MF5BMl5BanBnXkFtZTgwMzgxNzY2MTE@._V1_SX300.jpg
478,Shinobi No Mono 4: Siege,"Tokugawa Ieyasu is the ruler of all Japan. But one last loose thread must be tied up before his domination is complete -- the destruction of the Toyotomi clan, now beseiged in Osaka castle....",Drama,Not Rated,1964,87,Japanese,Japan,TokuzÃ´ Tanaka,Hajime Takaiwa,"RaizÃ´ Ichikawa,SaburÃ´ Date,Midori Isomura,GanjirÃ´ Nakamura",6.70,https://m.media-amazon.com/images/M/MV5BODYwNDgzMTUwNF5BMl5BanBnXkFtZTgwODA0MTc4MTE@._V1_SX300.jpg
479,"Howard Zinn, une histoire populaire amÃ©ricaine","Between 1900 and 1920, more than 14 million immigrants arrived in the United States, Howard Zinn's parents among them. They came fleeing poverty, war, racism, or religious persecution and ...",Documentary,NULL,2015,106,NULL,France,"Olivier Azam,Daniel Mermet",NULL,NULL,7.50,
480,Swingers' Paradise,A group of (literally) drifting popsters find themselves involved in a grim sand-and-sandals desert movie. They reckon a few song-and-dance numbers would liven things up.,"Music,Musical,Romance",Not Rated,1964,113,English,UK,Sidney J. Furie,Peter Myers t,"Cliff Richard,Walter Slezak,Susan Hampshire,Hank B. Marvin",5.40,https://m.media-amazon.com/images/M/MV5BMmFkNDFiZmEtZTFiMy00NWVmLWI5ZmItZjg2ZjI4ZjA1MjAzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
481,The Central Park Five,"A documentary that examines the 1989 case of five black and Latino teenagers who were convicted of raping a white woman in Central Park. After having spent between 6 and 13 years each in prison, a serial rapist confessed to the crime.","Documentary,Crime,History",Not Rated,2012,119,English,USA,"Ken Burns,Sarah Burns,David McMahon","Ken Burns,Sarah Burns,David McMahon","Antron McCray,Kevin Richardson,Yusef Salaam,Raymond Santana",7.70,https://m.media-amazon.com/images/M/MV5BMjMxMDMyNzI1M15BMl5BanBnXkFtZTcwOTIxMDQ2OA@@._V1_SX300.jpg
482,Unforgotten: Twenty-Five Years After Willowbrook,"It was a nightmare that shocked not only New York, but all of America. The public outcry about the Willowbrook State School for people with developmental disabilities resulted from Geraldo ...",Documentary,Not Rated,1996,57,English,USA,Jack Fisher,Stuart Warmflash,"Danny Aiello,Geraldo Rivera",6.40,https://m.media-amazon.com/images/M/MV5BMTIyNjg3Nzk4MV5BMl5BanBnXkFtZTcwMzE0NzU5MQ@@._V1_SX300.jpg
483,Red Lights Ahead,"Pa Wallace, an ardent member of the Whales, is offered a chance to invest $5,000 in a gold mine by the head of the Whales, Grand Harpoon F. Q. Whitney. Mrs Wallace is opposed but the four ...","Comedy,Family",APPROVED,1936,70,English,USA,Roland D. Reed,Robert Ellis t,"Andy Clyde,Lucile Gleason,Roger Imhof,Ben Alexander",6.20,https://m.media-amazon.com/images/M/MV5BMTI5ODc2NzcxMl5BMl5BanBnXkFtZTcwOTk1NzIzMQ@@._V1_SX300.jpg
484,Beyond Therapy,A few unusual characters and their unconventional therapists cross paths resulting in hilarious interactions.,Comedy,R,1987,93,English,USA,Robert Altman,Christopher Durang t,"Julie Hagerty,Jeff Goldblum,Glenda Jackson,Tom Conti",4.80,https://m.media-amazon.com/images/M/MV5BMWU1MWU0NzEtZDE0ZC00MDY0LTkzMmMtYTI5NjM1MjI1ZGViXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
485,Miss Firecracker,"Carnelle wants to escape her dreary life, so she enters a local beauty contest, much to everyone's dismay.",Comedy,PG,1989,102,English,USA,Thomas Schlamme,Beth Henley t,"Holly Hunter,Mary Steenburgen,Tim Robbins,Alfre Woodard",6.00,https://m.media-amazon.com/images/M/MV5BY2UzMWMxYzUtZWU5My00NGY4LWE4OTgtN2U3ZDllOTA5YTVjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
486,The Thorn Birds: The Missing Years,"At the height of WWII and ten years after their union in Matlock Island, Father Ralph reunites with Meggie who faces a deep crisis. Now, he must make up his mind, as the burden of choice is insufferable. Will he risk it all for love?","Drama,Romance",NULL,1996,178,English,"Australia, USA",Kevin James Dobson,"Colleen McCullough t,David Stevens","Richard Chamberlain,Amanda Donohoe,Paul Bertram,Julia Blake",6.40,https://m.media-amazon.com/images/M/MV5BMWJjYmY1Y2YtOTlhMi00MGEwLTg0MTMtYzM3ZDJlMzM0YTlhXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg
487,London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.","Action,Thriller",R,2016,99,"English, Italian, French, Japanese","UK, Bulgaria, USA",Babak Najafi,Creighton Rothenberger t,"Alon Aboutboul,Waleed Zuaiter,Adel Bencherif,Mehdi Dehbi",5.90,https://m.media-amazon.com/images/M/MV5BMTY1ODY2MTgwM15BMl5BanBnXkFtZTgwOTY3Nzc3NzE@._V1_SX300.jpg
488,Blue Jasmine: Notes from the Red Carpet,NULL,"Documentary,Short",NULL,2014,NULL,English,USA,NULL,NULL,"Cate Blanchett,Andrew Dice Clay,Peter Sarsgaard",4.40,NULL
489,Beyond the Time Barrier,"In 1960, a military test pilot is caught in a time warp that propels him to year 2024 where he finds a plague has sterilized the world's population.","Romance,Sci-Fi",Not Rated,1960,75,English,USA,Edgar G. Ulmer,Arthur C. Pierce t,"Robert Clarke,Darlene Tompkins,Arianne Ulmer,Vladimir Sokoloff",5.30,https://m.media-amazon.com/images/M/MV5BM2FhMDYyMTQtYjQ2OC00ZTUyLWIxYTAtMjNhOGY2MDczYzllXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg
490,Sundown: The Vampire in Retreat,Reclusive vampires lounge in a lonely American town. They wear sun cream to protect themselves. A descendant of Van Helsing arrives with hilarious consequences.,"Comedy,Horror,Western",R,1989,104,English,USA,Anthony Hickox,"John Burgess,Anthony Hickox,John Burgess t","David Carradine,Morgan Brittany,Bruce Campbell,Jim Metzler",6.10,https://m.media-amazon.com/images/M/MV5BMTI2Njc2NzIzNV5BMl5BanBnXkFtZTcwMDkzODU0Mg@@._V1_SX300.jpg
491,They Live by Night,"An escaped convict, injured during a robbery, falls in love with the woman who nurses him back to health, but their relationship seems doomed from the beginning.","Crime,Film-Noir,Romance",Passed,1948,95,English,USA,Nicholas Ray,Charles Schnee t,"Cathy O'Donnell,Farley Granger,Howard Da Silva,Jay C. Flippen",7.50,https://m.media-amazon.com/images/M/MV5BMTljY2UxNGEtM2MwOC00ODkxLWFmMDQtYjgxNTZlYWQ4ODQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
492,Ten Canoes,"In Australia's Northern Territory, a man tells us a story of his people and his land. It's about an older man, Minygululu, who has three wives and realizes that his younger brother Dayindi may try to steal away the youngest wife.","Adventure,Comedy,Drama",Unrated,2006,90,"Aboriginal, English",Australia,"Rolf de Heer,Peter Djigirr",Rolf de Heer,"Crusoe Kurddal,Jamie Gulpilil,Richard Birrinbirrin,Peter Minygululu",7.00,https://m.media-amazon.com/images/M/MV5BMTkzOTQ1NTA0OV5BMl5BanBnXkFtZTcwNzk3MTg0MQ@@._V1_SX300.jpg
493,Piglet's Big Movie,"When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.","Animation,Adventure,Comedy,Family,Musical,Mystery",G,2003,75,English,USA,Francis Glebas,Brian Hohlfeld t,"John Fiedler,Jim Cummings,Andre Stojka,Kath Soucie",6.20,https://m.media-amazon.com/images/M/MV5BMTc5MzE2ODAyOF5BMl5BanBnXkFtZTYwNTcwNDg3._V1_SX300.jpg
494,Love Is Strange,"After Ben and George get married, George is fired from his teaching post, forcing them to stay with friends separately while they sell their place and look for cheaper housing -- a situation that weighs heavily on all involved.","Drama,Romance",R,2014,94,"English, Russian","USA, Greece",Ira Sachs,"Ira Sachs,Mauricio Zacharias","Alfred Molina,John Lithgow,Darren E. Burrows,Charlie Tahan",6.70,https://m.media-amazon.com/images/M/MV5BMTk5MTkxOTI1N15BMl5BanBnXkFtZTgwNzAwNDA4MTE@._V1_SX300.jpg
495,Do You Wanna Know a Secret?,A night out on the town turns into a nightmare as six young college students find themselves hunted by a killer.,"Horror,Mystery,Thriller",R,2001,90,English,USA,Ty Bradford,"Kermit Christman,Del Tenney","Michael Sarysz,Dorie Barton,Joey Lawrence,Jeff Conaway",3.00,https://m.media-amazon.com/images/M/MV5BMTI1MjY5ODI5N15BMl5BanBnXkFtZTcwMTI2OTIyMQ@@._V1_SX300.jpg
496,Delivery: The Beast Within,A young couple documenting their first pregnancy for a new TV show discover that a malevolent entity has taken control of their unborn child.,"Horror,Mystery,Thriller",Not Rated,2013,87,English,USA,Brian Netto,"Brian Netto,Adam Schindler","Laurel Vail,Danny Barclay,Rob Cobuzio,Rebecca Brooks",5.30,https://m.media-amazon.com/images/M/MV5BMTAxMzU1MTcxNzNeQTJeQWpwZ15BbWU4MDI3MzkxNjEx._V1_SX300.jpg
497,The Gamma People,An American reporter smells a story when he is stranded in an Iron Curtain country where the local dictator is using gamma rays to transform children into mutated henchmen.,"Drama,Horror,Sci-Fi,Thriller",Passed,1956,76,"English, German",UK,John Gilling,John W. Gossage t,"Paul Douglas,Eva Bartok,Leslie Phillips,Walter Rilla",5.40,https://m.media-amazon.com/images/M/MV5BOWMxNDNjMTUtOWFhNC00NWY4LTg5MTYtNmUyODFmZWI5YjVlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
498,Searching for Bobby Fischer,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,"Biography,Drama,Sport",PG,1993,109,English,USA,Steven Zaillian,Fred Waitzkin t,"Max Pomeranc,Joe Mantegna,Joan Allen,Ben Kingsley",7.40,https://m.media-amazon.com/images/M/MV5BNTNlYjBjMGEtOTFkZS00MjM5LTk2ZTktYWVmZTc4NzE3NzAxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
499,Paradise Lost 3: Purgatory,A further followup of the case of the West Memphis Three and the decades long fight to exonerate them that finally gained traction with new DNA evidence.,"Documentary,Crime",Not Rated,2011,121,English,USA,"Joe Berlinger,Bruce Sinofsky",NULL,"Gary Gitchell,Todd Moore,Dana Moore,Pam Hobbs",8.10,https://m.media-amazon.com/images/M/MV5BMTEyNzgwMDAyMjVeQTJeQWpwZ15BbWU3MDE2NDI0Mjc@._V1_SX300.jpg
500,Garfield Gets Real: Animating from the Seoul,"The production team of ""Garfield Gets Real"" reveals the unique challenges of animating a movie from Muncie, Indiana to Burbank, California to Seoul, Korea.","Documentary,Short",NULL,2007,4,English,USA,Joshua Kopple,NULL,"Daniel Chuba,Jim Davis,Youngki Lee,Rob Neal",5.10,NULL
501,Speechless...,NULL,Short,NULL,2001,20,English,USA,"John Milton Branton,Danica McKellar",Danica McKellar,"Danica McKellar,Dorothy Lyman,Jay Michael Ferguson,Dan Lauria",7.50,https://m.media-amazon.com/images/M/MV5BMTk3MDU2OTg0M15BMl5BanBnXkFtZTYwNjc1ODc5._V1_SX300.jpg
502,Steam: The Turkish Bath,Francesco inherits an old palace from a Turkish aunt and moves to Istanbul to renovate it.,"Drama,Romance",NULL,1997,94,"Turkish, Italian","Italy, Turkey, Spain",Ferzan Ozpetek,"Ferzan Ozpetek t,Ferzan Ozpetek,Stefano Tummolini,Aldo Sambrell","Alessandro Gassmann,Francesca d'Aloja,Carlo Cecchi,Halil ErgÃ¼n",6.80,https://m.media-amazon.com/images/M/MV5BZTBiNzFjMjUtMmExNS00MTY4LWExZDAtODIzNWIwNDM2YmRkXkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_SX300.jpg
503,All In: The Poker Movie,"A documentary focusing on why one of America's oldest games has had a renaissance in the past few years and why, for so many, poker is the way to chase the American Dream.",Documentary,Not Rated,2009,100,English,USA,Douglas Tirola,NULL,"Karen Abbott,Peter Alson,Nick Brancato,Humberto Brenes",6.70,https://m.media-amazon.com/images/M/MV5BMjMwNzExNTIxM15BMl5BanBnXkFtZTcwMjYzOTkyNw@@._V1_SX300.jpg
504,Zombie Honeymoon,Zombie Honeymoon is a gore-soaked exploration of how far the boundaries of true love can be pushed without reaching a breaking point.,"Drama,Horror,Romance",Not Rated,2004,83,English,USA,David Gebroe,David Gebroe,"Tracy Coogan,Graham Sibley,Tonya Cornelisse,David M. Wallace",4.50,https://m.media-amazon.com/images/M/MV5BMTIzMjMzOTEwN15BMl5BanBnXkFtZTcwMTY1MjcyMQ@@._V1_SX300.jpg
505,Planet B-Boy,"Jumping continents and crossing cultures, ""Planet B-Boy"" looks at the history of breakdancing and its vibrant resurgence in urban cultures around the world.","Documentary,History,Music",Unrated,2007,95,English,USA,Benson Lee,NULL,"Stephane Fiossanangaye,Mr. Freeze,Luis Mateo,Skwall",7.70,https://m.media-amazon.com/images/M/MV5BMjI4ODYxODAyNl5BMl5BanBnXkFtZTcwMzQ3MjU1MQ@@._V1_SX300.jpg
506,Paycheck to Paycheck: The Life and Times of Katrina Gilbert,PAYCHECK TO PAYCHECK: THE LIFE & TIMES OF KATRINA GILBERT tells the moving story of a year in the life of one mother whose daily struggles illuminate the challenges faced by more than 42 ...,Documentary,Not Rated,2014,75,English,USA,"Shari Cookson,Nick Doob",NULL,NULL,7.30,https://m.media-amazon.com/images/M/MV5BMTQxNDkwMzM5MV5BMl5BanBnXkFtZTgwMDI3NzA4MjE@._V1_SX300.jpg
507,Manbiki G men nikaidÃ´ yuki 15: Jukunen rikon,NULL,Drama,NULL,2007,NULL,Japanese,Japan,NULL,NULL,"Nana Kinomi,Junko Mihara,Shinya Niiro,Utaemon Ohmori",8.80,
508,Mandingo Massacre 4,NULL,Adult,X,2012,163,English,USA,Jules Jordan,NULL,"Julia Ann,Amy Brooke,Kagney Linn Karter,Chastity Lynn",6.20,NULL
509,Guest of Cindy Sherman,A documentary on art-scene commentator Paul Hasegawa-Overacker's relationship with enigmatic photographer Cindy Sherman.,Documentary,Not Rated,2008,88,English,USA,"Tom Donahue,Paul Hasegawa-Overacker",NULL,"Cindy Sherman,John Waters,Eric Bogosian,Danny DeVito",6.40,https://m.media-amazon.com/images/M/MV5BMjA3NzM1ODI1Nl5BMl5BanBnXkFtZTcwMjMwMjkzMg@@._V1_SX300.jpg
510,The Cyclone Ranger,"A trio of former cattle rustlers try to go straight, but find that they can't shake off their reputations and trouble follows them.","Action,Adventure,Romance,Western",Approved,1935,60,English,USA,Robert F. Hill,Oliver Drake t,"Bill Cody,Nina Quartero,Eddie Gribbon,Soledad JimÃ©nez",5.40,https://m.media-amazon.com/images/M/MV5BYmY5ODVkMzMtNjAzMy00ZjU0LWJlMzYtZDQ0M2FiZTk3OTEwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg
511,Fort Apache the Bronx,"In New York City, South Bronx's main police precinct is nicknamed Fort Apache by its employees who feel like troopers surrounded by hostiles in a wild west isolated outpost.","Crime,Drama",R,1981,125,"English, Spanish",USA,Daniel Petrie,"Heywood Gould,Thomas Mulhearn t","Paul Newman,Edward Asner,Ken Wahl,Danny Aiello",6.70,https://m.media-amazon.com/images/M/MV5BOGY2OWViYmUtMjU4Ny00ZTM1LTlhZWItYmEwOGEyMDAwM2YwXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg
512,Witchboard 2,"A beautiful young woman starts receiving messages through a ouija board, claiming to be from the former occupant of her apartment. The former tenant claims she's been murdered, but there's ...","Horror,Mystery",R,1993,98,English,USA,Kevin Tenney,Kevin Tenney,"Ami Dolenz,Christopher Michael Moore,Laraine Newman,Timothy Gibbs",5.10,https://m.media-amazon.com/images/M/MV5BOWZjNGJjNzAtN2I4YS00YzI5LTkwNDAtZWU1MjI3NGQyOGU4XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg
513,Black Venus,"In the 19th century, a black woman from Africa is on display throughout Europe as an exotic curiosity.","Drama,History",Not Rated,2010,159,"French, Afrikaans, English, Dutch","France, Belgium",Abdellatif Kechiche,Abdellatif Kechiche t,"Yahima Torres,Andre Jacobs,Olivier Gourmet,Elina LÃ¶wensohn",6.80,https://m.media-amazon.com/images/M/MV5BYmMwMmVhZTMtOGVlOC00ZGJiLThhNmUtZDhmM2FhY2UwNTUxXkEyXkFqcGdeQXVyNjU0ODAyOTY@._V1_SX300.jpg
514,Planet B-Boy,"Jumping continents and crossing cultures, ""Planet B-Boy"" looks at the history of breakdancing and its vibrant resurgence in urban cultures around the world.","Documentary,History,Music",Unrated,2007,95,English,USA,Benson Lee,NULL,"Stephane Fiossanangaye,Mr. Freeze,Luis Mateo,Skwall",7.70,https://m.media-amazon.com/images/M/MV5BMjI4ODYxODAyNl5BMl5BanBnXkFtZTcwMzQ3MjU1MQ@@._V1_SX300.jpg
515,Dinner with Friends with Brett Gelman and Friends,The taping of a talk-show pilot takes a horrific turn.,"Short,Comedy",NULL,2014,NULL,English,USA,Jason Woliner,"Brett Gelman,Jason Woliner","Brett Gelman,Dale Dickey,Gilbert Gottfried,Alex Karpovsky",7.30,https://m.media-amazon.com/images/M/MV5BYWE0OWU1NmItNmQwMC00ZmZjLWFlYzctMmY1OGY2NWE0NmQzXkEyXkFqcGdeQXVyMTA0NDUxODQ@._V1_SX300.jpg
516,Creep Van,"Forced to team up with a sleazy conman to hunt down and stop the murderous Creep Van, misfit Campbell Jackson finds himself in for one hell of a bloody ride in this spine-chilling horror fest!",Horror,Not Rated,2012,80,English,USA,Scott W. McKinlay,"Jim Bartoo,Ian Michaels t","Brian Kolodziej,Amy Wehrell,Gerald Emerick,Collin Bernsen",3.90,https://m.media-amazon.com/images/M/MV5BMTk4MTk3NjU1MV5BMl5BanBnXkFtZTcwMDEyNDY2NA@@._V1_SX300.jpg
517,A Direct Action Story,NULL,Documentary,NULL,2015,NULL,English,USA,Michael Edo Keane,NULL,"Scott Cooper,Rob Nilsson,John Cale,Michael Edo Keane",2.20,NULL
518,Damnation Alley,"In a post-apocalyptic world, a group of survivors travel and find other settlements in huge custom designed all terrain vehicles.",Sci-Fi,PG,1977,91,English,USA,Jack Smight,Roger Zelazny t,"Jan-Michael Vincent,George Peppard,Dominique Sanda,Paul Winfield",5.30,https://m.media-amazon.com/images/M/MV5BYTdmNjk4OTItYzI2OC00OTNhLWJlYWUtMDU4ZTRhYmM5YTRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
519,Ciao bella ciao,NULL,"Fantasy,Short",NULL,2002,8,French,France,Laurence Rebouillon,Laurence Rebouillon,NULL,8.80,NULL
520,Fear and Loathing in Las Vegas,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,"Adventure,Comedy,Drama",R,1998,118,English,USA,Terry Gilliam,Hunter S. Thompson t,"Johnny Depp,Benicio Del Toro,Tobey Maguire,Michael Lee Gogin",7.60,https://m.media-amazon.com/images/M/MV5BNjA2ZDY3ZjYtZmNiMC00MDU5LTgxMWEtNzk1YmI3NzdkMTU0XkEyXkFqcGdeQXVyNjQyMjcwNDM@._V1_SX300.jpg
521,BASEketball,"Two childhood friends are pro athletes of a national sport called BASEketball, a hybrid of baseball and basketball, and must deal with a greedy businessman scheming against their team.","Comedy,Sport",R,1998,103,English,USA,David Zucker,"David Zucker,Robert LoCash,Lewis Friedman,Jeff Wright","Trey Parker,Matt Stone,Dian Bachar,Yasmine Bleeth",6.50,https://m.media-amazon.com/images/M/MV5BMmZjZDg2ZjItYTVkNC00YWRmLThmZTMtNTYxNTI5MWM4NjU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
522,Othello (Shakespeare's Globe Theatre),The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,Drama,NULL,2008,195,English,UK,Wilson Milam,William Shakespeare t,"Christopher Allan,Simon Allen,Zawe Ashton,Anthony Bailey",7.90,https://m.media-amazon.com/images/M/MV5BOWQxNjA4NzQtNzdiMy00Zjg1LWFiMWEtMTljZTRlM2JhNjM5XkEyXkFqcGdeQXVyMTQ0MzMwNQ@@._V1_SX300.jpg
523,City in the Sea,"In 1903, in Cornwall, a group of locals discover an underwater city, dating back to 1803, that hides a society of smugglers and aquatic creatures.","Adventure,Fantasy,Horror,Sci-Fi",Unrated,1965,84,English,"UK, USA","Jacques Tourneur,IshirÃ´ Honda",Charles Bennett t,"Vincent Price,Tab Hunter,David Tomlinson,Susan Hart",5.40,https://m.media-amazon.com/images/M/MV5BNGMzMzMxY2MtY2VkYi00MzEyLWFjZTYtNWU5YzgyMDJkZjEzXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg
524,Night on Earth: Shot in the Dark,"This look behind the scenes shows how worldwide camera crews climbed, dived and froze to capture the documentary's groundbreaking night footage.""",Documentary,NULL,2020,59,English,UK,NULL,NULL,"Alessandra Mastronardi,Beren Saat,Samira Wiley",7.90,https://m.media-amazon.com/images/M/MV5BM2I2MWRkOWQtNGFiNC00YTQyLWEyNDgtODNlYWQ2YmYzOTE2XkEyXkFqcGdeQXVyMjkxNjk0NjQ@._V1_SX300.jpg
525,Kara no Kyoukai: The Garden of Sinners - Paradox Spiral,"November 1998: A young man swears he committed a heinous crime, he looks in the news, but nobody talks about what happened, even when the police find the alleged victims ... alive and ...","Animation,Action,Crime,Drama,Horror,Mystery,Thriller",NULL,2008,114,Japanese,Japan,"Takayuki Hirao,Takahiro Miura",Kinoko Nasu t,"Maaya Sakamoto,Kenichi Suzumura,Takako Honda,JÃ´ji Nakata",7.90,https://m.media-amazon.com/images/M/MV5BNThiMzMyNGQtZDM4MS00NjRhLWJhNzYtMTVjZjc0MDMyNmRjXkEyXkFqcGdeQXVyNTk1ODMyNjA@._V1_SX300.jpg
526,Dead in Tombstone,"A leader killed by his own gang, gets offered a chance by Satan himself to escape damnation.","Action,Fantasy,Horror,Western",R,2013,100,English,USA,Roel ReinÃ©,"Shane Kuhn,Brendan Cowles","Danny Trejo,Mickey Rourke,Anthony Michael Hall,Dina Meyer",4.90,https://m.media-amazon.com/images/M/MV5BMTA0ZGM3NGMtNWJmYi00NDdhLWE1YmItZTY1ZjVjZWI2MmY4XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg
